院校名称,年份,省份,科类,批次,最低分,最低位次,平均分,招生人数,院校代码
厦门华厦学院,2024,陕西,理科,本科二批,385,,,,厦门华厦学院
厦门华厦学院,2024,陕西,文科,本科二批,412,,,,厦门华厦学院
中国人民大学,2024,陕西,文科,本科一批,630,87,,27,10003
中国人民大学,2024,陕西,文科,本科一批,620,169,,11,10003
北京大学医学部,2024,陕西,理科,本科一批,687,201,,22,北京大学医学部
北京大学医学部,2024,陕西,理科,本科一批,686,214,,2,北京大学医学部
中国科学院大学,2024,陕西,理科,本科一批,685,243,,14,中国科学院大学
北京师范大学,2024,陕西,文科,本科一批,615,247,,8,北京师范大学
武汉大学,2024,陕西,文科,本科一批,613,274,,23,武汉大学
武汉大学,2024,陕西,文科,本科一批,612,294,,2,武汉大学
南开大学,2024,陕西,文科,本科一批,612,295,,24,南开大学
上海财经大学,2024,陕西,文科,本科一批,611,308,,9,31005
上海交通大学医学院,2024,陕西,理科,本科一批,681,322,,2,上海交通大学医学院
华东师范大学,2024,陕西,文科,本科一批,610,331,,3,31004
哈尔滨工业大学（深圳）,2024,陕西,文科,本科一批,609,343,,2,哈尔滨工业大学（深圳
中国科学技术大学,2024,陕西,理科,本科一批,680,343,,33,中国科学技术大学
同济大学,2024,陕西,文科,本科一批,609,350,,14,31003
北京大学医学部,2024,陕西,理科,本科一批,680,352,,4,北京大学医学部
厦门大学,2024,陕西,文科,本科一批,607,392,,3,厦门大学
南开大学,2024,陕西,文科,本科一批,606,394,,4,南开大学
北京航空航天大学,2024,陕西,文科,本科一批,605,416,,9,10004
中国人民大学,2024,陕西,理科,本科一批,677,453,,20,10003
北京师范大学,2024,陕西,文科,本科一批,604,455,,2,北京师范大学
厦门大学,2024,陕西,文科,本科一批,603,486,,25,厦门大学
中央财经大学,2024,陕西,文科,本科一批,602,509,,15,10008
东南大学,2024,陕西,文科,本科一批,602,516,,10,32002
中国科学院大学,2024,陕西,理科,本科一批,675,522,,5,中国科学院大学
对外经济贸易大学,2024,陕西,文科,本科一批,600,543,,14,10009
华中科技大学,2024,陕西,文科,本科一批,600,565,,13,华中科技大学
中国政法大学,2024,陕西,文科,本科一批,598,603,,31,10006
中国人民公安大学,2024,陕西,文科,本科提前批A段,598,612,,,中国人民公安大学
北京理工大学,2024,陕西,文科,本科一批,594,689,,20,10005
天津大学,2024,陕西,文科,本科一批,594,720,,25,天津大学
哈尔滨工业大学（深圳）,2024,陕西,理科,本科一批,669,745,,12,哈尔滨工业大学（深圳
哈尔滨工业大学,2024,陕西,理科,本科一批,669,753,,23,哈尔滨工业大学
哈尔滨工业大学,2024,陕西,文科,本科一批,591,799,,15,哈尔滨工业大学
华东政法大学,2024,陕西,文科,本科一批,590,818,,9,华东政法大学
重庆大学,2024,陕西,文科,本科一批,590,853,,,重庆大学
上海财经大学,2024,陕西,文科,本科一批,589,854,,6,31005
中南大学,2024,陕西,文科,本科一批,589,867,,14,中南大学
中国政法大学,2024,陕西,文科,本科一批,588,905,,7,10006
山东大学,2024,陕西,文科,本科一批,588,908,,4,山东大学
北京航空航天大学,2024,陕西,理科,本科一批,666,950,,101,10004
吉林大学,2024,陕西,文科,本科一批,587,961,,4,吉林大学
中国科学技术大学,2024,陕西,理科,本科一批,665,983,,6,中国科学技术大学
北京外国语大学,2024,陕西,文科,本科一批,585,1041,,12,10007
中国农业大学,2024,陕西,文科,本科一批,584,1044,,9,中国农业大学
中国美术学院,2024,陕西,文科,本科一批,584,1049,,1,中国美术学院
山东大学,2024,陕西,文科,本科一批,584,1071,,21,山东大学
上海大学,2024,陕西,文科,本科一批,582,1122,,6,上海大学
中南大学,2024,陕西,文科,本科一批,582,1128,,4,中南大学
北京电子科技学院,2024,陕西,文科,本科提前批,582,1165,,,北京电子科技学院
中国社会科学院大学,2024,陕西,文科,本科一批,581,1176,,16,中国社会科学院大学
北京外国语大学,2024,陕西,文科,本科一批,580,1241,,3,10007
湖南大学,2024,陕西,文科,本科一批,580,1250,,16,湖南大学
山东大学（威海）,2024,陕西,文科,本科一批,579,1301,,15,山东大学（威海）
上海外国语大学,2024,陕西,文科,本科一批,578,1340,,2,上海外国语大学
西南政法大学,2024,陕西,文科,高校专项计划本科批,578,1344,,,西南政法大学
中国社会科学院大学,2024,陕西,文科,本科一批,577,1346,,3,中国社会科学院大学
上海交通大学医学院,2024,陕西,理科,本科一批,658,1378,,5,上海交通大学医学院
北京理工大学,2024,陕西,理科,本科一批,658,1403,,104,10005
厦门大学,2024,陕西,文科,本科一批,576,1419,,4,厦门大学
中国人民公安大学,2024,陕西,文科,本科一批,576,1439,,,中国人民公安大学
中国人民公安大学,2024,陕西,文科,本科一批,575,1470,,3,中国人民公安大学
北京航空航天大学,2024,陕西,理科,本科一批,656,1500,,16,10004
中国海洋大学,2024,陕西,文科,本科一批,574,1507,,13,中国海洋大学
西南财经大学,2024,陕西,文科,本科一批,574,1534,,24,50003
中央民族大学,2024,陕西,文科,本科一批,574,1540,,38,中央民族大学
北京邮电大学,2024,陕西,文科,本科一批,574,1542,,12,北京邮电大学
北京交通大学,2024,陕西,文科,本科一批,573,1563,,9,北京交通大学
北京交通大学,2024,陕西,文科,本科一批,573,1599,,,北京交通大学
中国传媒大学,2024,陕西,文科,本科一批,572,1639,,13,中国传媒大学
上海大学,2024,陕西,文科,本科一批,571,1678,,4,上海大学
苏州大学,2024,陕西,文科,本科一批,571,1689,,11,32004
东南大学,2024,陕西,理科,本科一批,653,1696,,47,32002
广州中医药大学,2024,陕西,文科,本科一批,570,1732,,3,广州中医药大学
哈尔滨工业大学（深圳）,2024,陕西,理科,本科一批,652,1764,,6,哈尔滨工业大学（深圳
兰州大学,2024,陕西,文科,本科一批,568,1862,,39,兰州大学
同济大学,2024,陕西,理科,本科一批,651,1875,,8,31003
南京审计大学,2024,陕西,文科,本科一批,567,1887,,7,南京审计大学
北京科技大学,2024,陕西,文科,本科一批,567,1929,,12,北京科技大学
同济大学,2024,陕西,理科,本科一批,650,1954,,40,31003
吉林大学,2024,陕西,文科,本科一批,566,1971,,26,吉林大学
西南大学,2024,陕西,文科,本科一批,566,1985,,12,西南大学
中国传媒大学,2024,陕西,文科,本科一批,566,1995,,5,中国传媒大学
北京语言大学,2024,陕西,文科,本科一批,566,1997,,4,北京语言大学
中国刑事警察学院,2024,陕西,文科,本科提前批A段,566,2004,,7,中国刑事警察学院
深圳大学,2024,陕西,文科,本科一批,565,2020,,16,44004
上海外国语大学,2024,陕西,文科,本科一批,564,2067,,7,上海外国语大学
南京师范大学,2024,陕西,文科,本科一批,564,2101,,3,32005
华北电力大学（北京）,2024,陕西,文科,本科一批,564,2106,,5,华北电力大学（北京）
西南政法大学,2024,陕西,文科,本科一批,564,2119,,37,西南政法大学
南京师范大学,2024,陕西,文科,本科一批,563,2133,,17,32005
中国人民大学,2024,陕西,理科,本科一批,647,2147,,9,10003
北京航空航天大学,2024,陕西,理科,本科一批,647,2170,,5,10004
上海交通大学医学院,2024,陕西,理科,本科一批,646,2234,,12,上海交通大学医学院
首都经济贸易大学,2024,陕西,文科,本科一批,562,2236,,4,首都经济贸易大学
西南交通大学,2024,陕西,文科,本科一批,562,2256,,10,西南交通大学
苏州大学,2024,陕西,文科,本科一批,561,2324,,1,32004
华中师范大学,2024,陕西,文科,本科一批,560,2342,,2,华中师范大学
江南大学,2024,陕西,文科,本科一批,560,2353,,14,江南大学
湖南大学,2024,陕西,文科,本科一批,560,2369,,1,湖南大学
中南财经政法大学,2024,陕西,文科,本科一批,560,2383,,40,中南财经政法大学
中国传媒大学,2024,陕西,文科,本科一批,560,2388,,6,中国传媒大学
中国地质大学（北京）,2024,陕西,文科,本科一批,559,2434,,4,中国地质大学（北京）
武汉大学,2024,陕西,理科,本科一批,644,2500,,72,武汉大学
华中科技大学,2024,陕西,理科,本科一批,643,2519,,70,华中科技大学
东北师范大学,2024,陕西,文科,本科一批,558,2520,,4,东北师范大学
中国石油大学（北京）,2024,陕西,文科,本科一批,558,2570,,5,中国石油大学（北京）
中央司法警官学院,2024,陕西,文科,本科提前批A段,558,2578,,,中央司法警官学院
哈尔滨工业大学（深圳）,2024,陕西,理科,本科一批,642,2616,,5,哈尔滨工业大学（深圳
福州大学,2024,陕西,文科,本科一批,557,2627,,4,福州大学
南开大学,2024,陕西,理科,本科一批,642,2640,,38,南开大学
中国药科大学,2024,陕西,文科,本科一批,556,2662,,3,中国药科大学
东北师范大学,2024,陕西,文科,本科一批,556,2673,,7,东北师范大学
南京航空航天大学,2024,陕西,文科,本科一批,556,2674,,24,32003
上海科技大学,2024,陕西,理科,本科提前批,642,2713,,13,上海科技大学
中国地质大学（武汉）,2024,陕西,文科,本科一批,555,2805,,8,中国地质大学（武汉）
同济大学,2024,陕西,理科,本科一批,641,2806,,9,31003
南京警察学院,2024,陕西,文科,本科提前批A段,555,2828,,,南京警察学院
华北电力大学（北京）,2024,陕西,文科,本科一批,554,2829,,1,华北电力大学（北京）
北京化工大学,2024,陕西,文科,本科一批,554,2877,,14,北京化工大学
东南大学,2024,陕西,文科,本科一批,554,2905,,2,32002
中国人民公安大学,2024,陕西,文科,本科提前批A段,554,2924,,,中国人民公安大学
暨南大学,2024,陕西,文科,本科一批,553,2941,,16,44003
湖南师范大学,2024,陕西,文科,本科一批,553,2998,,1,湖南师范大学
宁波大学,2024,陕西,文科,本科一批,552,3056,,2,宁波大学
华南师范大学,2024,陕西,文科,本科一批,552,3091,,21,华南师范大学
北京中医药大学,2024,陕西,文科,本科一批,551,3124,,4,北京中医药大学
山东大学（威海）,2024,陕西,文科,本科一批,551,3134,,14,山东大学（威海）
东北财经大学,2024,陕西,文科,本科一批,551,3137,,6,东北财经大学
中国矿业大学,2024,陕西,文科,本科一批,550,3248,,20,中国矿业大学
北京理工大学,2024,陕西,理科,本科一批,636,3318,,23,10005
东北大学秦皇岛分校,2024,陕西,文科,本科一批,549,3337,,5,东北大学秦皇岛分校
河海大学,2024,陕西,文科,本科一批,549,3339,,12,河海大学
郑州大学,2024,陕西,文科,本科一批,549,3361,,37,郑州大学
